prep_time,energy,calories,fat,sat_fat,carbs,sugar,fiber,protein,cholesterol,sodium,rating,rating_count
30,3264,780,37,9,77,12,4,30,95,1180,4.0,14
35,3473,830,40,13,93,16,7,27,55,1010,3.4,6051
40,2803,670,33,15,49,7,5,45,175,390,3.9,27
35,4142,990,53,19,88,18,7,42,140,890,3.6,15996
35,2678,640,33,15,48,9,10,42,150,640,3.6,10711
35,2887,690,33,9,59,10,9,9,130,1120,3.5,9499
25,3431,820,43,20,72,11,4,38,135,1120,3.4,4440
35,3347,800,42,15,62,24,7,43,165,360,3.5,2740
40,3640,870,43,17,95,19,10,20,75,750,3.4,3386
25,3724,890,38,18,105,6,14,22,80,1270,3.5,2833
35,3682,880,49,26,70,19,13,44,185,700,3.6,1071
40,5858,1400,85,37,98,23,7,56,265,2770,3.5,1515
20,3012,720,41,16,50,5,7,33,125,410,3.5,8320
35,4017,960,51,20,90,14,6,34,130,1310,3.5,3245
25,3431,820,46,24,56,8,7,38,355,1710,3.5,3505
20,2636,630,15,4.5,92,24,3,26,230,2090,3.5,9217
30,2301,550,22,8,48,15,7,37,130,310,3.8,62
25,4058,970,50,17,85,12,6,45,145,1740,3.1,2226
30,3012,720,20,7,113,18,15,20,25,1610,3.3,5248
25,3138,750,40,19,86,9,9,20,75,290,4.0,17
45,4979,1190,66,21,78,4,20,60,240,680,3.6,1081
35,2427,580,23,7,52,21,7,40,135,290,3.5,12116
40,4058,970,61,22,70,21,5,44,185,1480,3.5,8330
30,3724,890,48,17,63,16,7,33,115,1240,3.6,3653
45,3933,940,60,25,71,8,6,36,150,2130,3.5,5243
40,2887,690,37,15,50,7,5,43,165,500,3.5,9803
25,3766,900,46,16,92,27,3,33,110,2310,3.5,3358
40,3766,900,38,16,82,11,6,60,185,1200,3.5,3756
35,2594,620,36,13,56,14,14,20,50,470,3.4,3730
35,2971,710,41,16,70,10,7,21,65,840,3.5,1163
35,2678,640,33,15,37,5,4,41,115,830,3.6,1082
40,3473,830,37,8,79,9,6,38,270,2470,3.5,1758
40,3180,760,40,11,62,15,7,37,110,590,3.6,3483
35,2527.136,604,16,4,57,13,24,51,1703,2.8,2308
35,3933,940,52,19,83,9,8,38,140,520,3.3,2567
40,4310,1030,68,27,41,5,6,54,240,900,3.7,2757
30,3264,780,41,18,65,10,3,36,180,1590,3.5,2643
30,2427,580,22,7,55,20,8,37,130,310,3.8,138
30,3849,920,47,14,99,20,15,23,50,770,3.5,1439
30,2887,690,36,19,70,10,8,25,115,1190,3.5,6906
40,3138,750,36,10,67,14,6,36,130,290,3.5,1952
35,2929,700,34,16,46,5,4,51,185,720,3.6,1000
40,3975,950,54,24,52,11,4,42,145,1920,3.6,2906
30,4602,1100,68,25,84,13,7,37,175,890,3.9,16
35,3598,860,38,15,70,11,7,40,160,2030,3.6,3532
35,2845,680,30,12,67,25,8,35,145,310,3.6,10957
40,3807,910,51,22,74,10,5,42,135,2040,3.6,4346
30,1925,460,19,9,60,7,5,15,40,690,3.5,4574
45,2385,570,20,3.5,93,13,10,13,10,540,3.2,5219
30,3724,890,64,24,47,10,10,36,140,320,3.4,2302
45,6318,1510,104,32,92,22,7,52,225,1710,3.6,1085
35,3222,770,27,11,85,7,11,44,105,680,3.6,4538
50,4017,960,49,20,90,14,7,45,145,1370,3.9,12
35,3891,930,44,14,100,11,10,28,265,2230,3.5,6757
30,2427,580,22,7,55,20,8,37,130,310,3.8,138
30,3264,780,34,13,71,7,5,41,130,510,3.5,5144
35,3347,800,36,11,110,25,7,11,30,1940,3.4,2173
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
35,3556,850,42,17,81,30,5,30,135,1430,3.6,4278
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
45,4142,990,50,24,95,16,7,46,160,1160,3.5,11794
30,2427,580,22,7,55,20,8,37,130,310,3.8,138
35,4435,1060,65,26,81,10,5,36,140,1130,3.4,1680
30,2971,710,32,9,67,12,3,35,130,940,3.5,13084
30,3473,830,46,17,72,12,6,34,110,1930,3.3,3889
40,2803,670,34,16,44,13,9,45,185,520,3.6,7017
50,2803,670,29,13,86,6,7,21,45,530,3.4,731
30,2552,610,25,9,76,11,8,17,40,620,3.9,18
50,3347,800,46,18,77,7,5,28,90,1000,3.5,4342
40,5858,1400,83,39,102,13,12,61,270,2550,3.5,1859
35,3138,750,40,15,68,11,10,36,120,370,3.6,4798
35,4184,1000,55,18,88,14,7,44,135,1200,3.4,2944
35,3222,770,44,19,45,7,9,51,215,760,3.6,1610
30,2761,660,39,18,37,3,4,36,145,930,3.5,14929
30,2301,550,23,7,44,10,7,38,130,520,3.5,6822
45,2929,700,38,10,45,7,10,50,225,390,3.4,2750
35,2803,670,27,8,99,18,5,11,35,1300,3.5,2180
40,3222,770,36,14,70,38,7,36,165,270,3.5,12483
30,3138,750,39,21,81,11,4,22,90,370,3.5,8535
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
20,3347,800,39,17,86,38,3,31,135,440,3.5,14699
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
25,3138,750,42,21,59,22,10,40,170,350,3.5,7022
40,4728,1130,67,27,90,17,8,44,180,2050,3.5,4821
35,2678,640,27,10,54,14,10,47,155,590,3.4,9210
35,2803,670,32,15,83,12,6,16,65,750,3.5,5422
30,2678,640,33,8,75,13,4,14,200,990,3.5,3893
35,2510,600,28,11,50,9,9,41,120,550,3.7,2845
45,4393,1050,54,13,106,21,11,30,255,1980,3.6,1078
30,3012,720,29,9,81,21,3,36,80,1040,3.5,5270
45,4058,970,48,16,88,13,7,44,130,1080,3.6,3792
30,3222,770,38,13,73,25,4,31,110,1560,3.6,3993
45,2803,670,36,16,41,7,9,48,200,780,3.5,1055
30,2720,650,27,10,59,26,3,39,150,280,3.5,920
30,2427,580,22,7,55,20,8,37,130,310,3.8,138
45,4979,1190,66,21,78,4,20,60,240,680,3.6,1081
30,3096,740,24,8,107,23,15,20,35,1150,3.3,2007
30,3347,800,43,11,78,14,17,23,45,1060,3.5,4007
35,3807,910,42,10,94,23,4,29,95,1840,3.5,4761
30,2343,560,21,7,55,19,9,39,135,300,3.5,14721
40,4393,1050,60,22,89,21,6,44,185,1150,3.5,9446
30,3724,890,48,17,82,15,7,32,115,1220,3.6,10678
25,2385,570,21,9,59,16,3,33,135,340,3.4,4888
35,3222,770,47,17,50,11,7,38,130,490,3.4,5260
30,3222,770,36,17,69,5,6,43,135,2030,3.6,8474
20,2678,640,41,20,55,9,7,20,100,500,3.6,5735
25,3515,840,42,18,82,7,13,28,65,1290,3.5,3652
40,3222,770,46,16,59,27,8,32,220,760,3.4,1309
45,3891,930,48,23,56,13,10,64,410,1470,3.5,2349
45,4058,970,50,14,92,15,6,38,150,1040,3.1,3494
35,4184,1000,50,23,91,12,5,52,165,1960,3.5,4039
50,3807,910,42,20,73,28,11,57,235,770,3.5,1049
30,2929,700,35,14,57,21,7,38,130,1390,3.4,10687
30,2594,620,32,14,37,4,2,38,165,690,3.7,3483
40,2678,640,26,10,57,18,10,49,230,350,3.4,1930
50,2343,560,26,11,68,20,8,12,45,1640,3.0,3808
35,2301,550,20,6,51,20,8,40,135,290,3.5,6408
25,3891,930,53,22,62,6,6,44,155,1010,3.5,2493
20,4142,990,64,22,53,15,8,42,155,1160,3.5,2020
35,3389,810,36,12,87,9,6,36,145,550,3.5,2111
35,3598,860,49,21,63,7,5,37,155,430,3.3,298
25,2510,600,26,9,60,14,3,34,135,930,3.5,1757
40,3138,750,34,13,102,26,15,18,45,540,3.5,1492
50,2803,670,29,13,86,6,7,21,45,530,3.4,731
30,3138,750,30,10,87,10,20,23,20,1070,3.4,200
40,3807,910,48,16,84,33,6,33,215,750,3.7,712
40,3012,720,28,11,90,42,4,32,140,1690,3.4,219
20,3054,730,31,12,74,7,4,34,260,1070,4.0,7
35,4142,990,49,19,84,23,8,41,140,1030,3.4,5154
40,3473,830,66,24,55,9,12,48,200,910,3.4,129
20,2301,550,24,7,50,6,5,33,120,320,3.3,1118
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
45,4142,990,50,24,95,16,7,46,160,1160,3.5,11794
30,2301,550,22,8,48,15,7,37,130,310,3.8,62
20,2803,670,34,11,58,7,4,30,135,690,3.1,2566
35,2720,650,31,13,71,7,5,40,145,1650,3.6,604
30,4602,1100,67,25,82,12,9,42,175,690,3.6,412
35,3975,950,37,10,103,16,21,44,145,1950,3.5,371
25,3389,810,45,20,71,11,10,25,70,930,3.4,934
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
30,2636,630,31,7,45,5,7,44,135,510,3.4,4517
30,3431,820,39,11,81,15,5,36,100,1920,3.5,7482
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
30,2301,550,23,6,50,16,8,39,110,550,3.6,405
35,3431,820,37,20,85,12,22,30,80,880,3.3,1118
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
40,2510,600,29,12,49,10,7,38,125,580,3.6,722
40,2929,700,20,7,74,6,9,47,165,810,3.2,368
25,2510,600,38,14,50,5,4,23,245,820,3.6,2851
30,3054,730,32,13,58,14,6,37,110,1230,3.5,2315
50,3807,910,42,20,73,28,11,57,235,770,3.5,1049
30,2803,670,38,15,52,12,9,31,140,710,3.3,3515
30,3724,890,48,17,63,16,7,33,115,1240,3.6,3653
30,2385,570,16,6,60,14,3,39,135,520,3.5,65
45,2636,630,29,11,57,12,7,33,110,1200,3.5,3048
45,4979,1190,66,21,78,4,20,60,240,680,3.6,1081
45,4058,970,48,16,88,13,7,44,130,1080,3.6,3792
35,2469,590,20,4,62,24,9,42,120,540,3.3,1039
30,3180,760,40,22,80,10,4,22,95,360,3.6,4468
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
35,2594,620,36,13,56,14,14,20,50,470,3.4,3730
35,2510,600,36,14,40,8,7,32,215,680,3.7,425
45,2385,570,25,10,41,10,7,44,150,500,3.5,603
20,3054,730,31,12,74,7,4,34,260,1070,4.0,7
40,3431,820,49,23,45,6,6,51,170,640,3.4,836
35,3598,860,58,16,78,35,10,47,160,560,3.3,1206
30,2971,710,29,8,70,11,6,40,125,1940,3.5,2189
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
20,2929,700,35,12,55,23,5,42,130,370,3.4,3753
40,2636,630,27,5,65,13,6,36,115,570,3.4,4618
35,3347,800,38,15,95,12,6,39,150,1430,3.3,501
35,3807,910,42,10,94,23,4,29,95,1840,3.5,4761
30,2887,690,33,10,78,17,6,18,40,700,3.2,854
40,2720,650,30,9,78,14,13,23,30,590,3.4,1203
30,3556,850,53,15,63,15,7,21,40,1310,3.4,1663
25,4058,970,51,24,82,10,8,45,165,380,3.2,2266
25,3431,820,46,24,56,8,7,38,355,1710,3.5,3505
30,2720,650,27,10,59,26,3,39,150,280,3.5,920
30,2469,590,21,7,64,25,10,39,135,400,3.5,2545
20,3473,830,41,18,63,19,6,37,120,1010,3.4,6217
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
35,3431,820,23,9,70,14,2,29,135,810,3.5,2036
30,4602,1100,67,25,82,12,9,42,175,690,3.6,412
50,3473,830,41,18,78,30,10,35,130,940,3.4,418
30,2803,670,29,15,90,10,9,19,60,180,3.2,602
30,3515,840,47,17,88,9,11,16,65,560,3.4,2189
30,3933,940,39,15,92,20,11,28,50,1490,3.5,1676
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
35,2008,480,13,2.5,52,22,6,38,120,660,3.4,248
35,3138,750,40,15,68,11,10,36,120,370,3.6,4798
35,3264,780,35,14,53,18,12,46,125,1000,3.5,5024
45,2845,680,32,15,51,14,10,37,165,750,3.5,1157
40,2887,690,43,11,51,12,10,29,115,260,3.5,2228
35,3264,780,40,17,61,21,4,46,145,440,3.4,3554
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
35,4268,1020,58,22,62,18,5,43,185,1090,3.4,3310
35,2636,630,26,10,55,6,2,40,150,600,3.4,461
35,3598,860,38,15,70,11,7,40,160,2030,3.6,3532
45,3096,740,39,14,66,24,10,32,110,880,3.4,3341
25,3473,830,56,12,62,6,4,19,40,910,3.4,3282
30,3138,750,43,22,48,9,6,35,100,980,3.4,2992
40,3096,740,38,17,62,20,9,40,145,600,3.6,1455
30,3431,820,39,11,81,15,5,36,100,1920,3.5,7482
30,1883,450,15,4.5,35,6,6,40,130,380,3.4,156
20,4142,990,64,22,53,15,8,42,155,1160,3.5,2020
40,2971,710,40,19,52,11,10,40,190,540,3.2,2785
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,3473,830,40,20,80,9,8,43,190,430,3.4,1131
30,3222,770,46,26,57,7,6,27,145,1150,3.6,4766
40,2678,640,26,10,56,18,11,50,230,350,3.4,1190
40,3054,730,34,15,58,13,9,45,175,520,3.5,11384
20,3389,810,45,18,50,14,2,35,120,1480,3.6,6370
30,2301,550,23,6,50,16,8,39,110,550,3.6,405
35,4435,1060,65,26,81,10,5,36,140,1130,3.4,1680
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
35,2594,620,36,13,56,14,14,20,50,470,3.4,3730
35,4393,1050,41,17,120,18,25,29,65,840,3.6,2360
35,3222,770,28,11,81,9,16,45,120,1620,3.2,237
25,2510,600,38,14,50,5,4,23,245,820,3.6,2851
35,2636,630,24,11,61,23,10,42,160,450,3.4,2311
35,3347,800,56,21,62,14,8,38,155,1190,3.2,2241
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
30,2636,630,31,7,45,5,7,44,135,510,3.4,4517
35,3556,850,47,19,66,9,7,41,140,1380,3.3,3190
35,2929,700,31,10,66,21,10,39,135,480,3.5,4613
20,2929,700,35,12,55,23,5,42,130,370,3.4,3753
45,3054,730,42,19,58,12,11,41,175,520,3.3,1021
40,5858,1400,83,39,102,13,12,61,270,2550,3.5,1859
30,4017,960,43,15,98,15,25,35,45,1330,3.3,1801
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
25,2510,600,29,12,43,7,6,33,300,1620,3.5,1199
40,2427,580,19,7,72,40,8,30,125,470,3.3,177
20,3012,720,41,16,50,5,7,33,125,410,3.5,8320
30,3264,780,41,18,65,10,3,36,180,1590,3.5,2643
30,3724,890,48,19,64,11,6,39,140,700,3.4,4098
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
35,2803,670,30,11,58,15,7,42,155,1210,3.5,5616
45,2636,630,29,11,57,12,7,33,110,1200,3.5,3048
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
20,2176,520,28,12,40,3,5,32,155,400,3.0,700
20,3012,720,39,18,53,15,8,34,135,830,3.5,1052
30,3180,760,40,22,80,10,4,22,95,360,3.6,4468
40,2720,650,30,9,78,14,13,23,30,590,3.4,1203
35,2385,570,23,9,63,17,12,29,40,550,3.4,1927
35,2803,670,33,11,48,10,11,44,120,720,3.6,1044
30,2301,550,22,8,48,15,7,37,130,310,3.8,62
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
40,4393,1050,60,22,89,21,6,44,185,1150,3.5,9446
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
30,3389,810,32,13,83,14,7,42,155,1540,3.5,3152
40,2929,700,33,6,64,27,10,41,95,690,3.4,805
30,2678,640,33,8,75,13,4,14,200,990,3.5,3893
25,2092,500,17,3.5,72,15,7,19,20,560,3.5,2287
45,2929,700,34,17,64,9,7,35,180,450,3.4,676
20,3682,880,53,18,60,13,3,40,160,890,3.5,1640
45,2887,690,36,14,58,14,12,36,155,450,3.6,48
50,4017,960,52,25,73,22,12,41,205,860,3.5,1192
40,2887,690,43,11,51,12,10,29,115,260,3.5,2228
30,3264,780,37,9,77,12,4,30,95,1180,4.0,14
30,3515,840,47,17,88,9,11,16,65,560,3.4,2189
35,2301,550,20,6,51,20,8,40,135,290,3.5,6408
45,3096,740,39,14,66,24,10,32,110,880,3.4,3341
35,3389,810,34,14,82,16,6,40,170,510,3.4,2501
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
35,2887,690,38,19,66,11,8,20,85,840,3.4,2207
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
30,2092,500,22,5,34,5,7,40,130,410,3.5,2908
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
40,3849,920,48,22,77,9,6,31,135,1300,3.5,801
40,3431,820,49,23,45,6,6,51,170,640,3.4,836
45,2385,570,28,16,70,6,4,13,60,710,3.4,2172
25,2845,680,37,13,72,9,7,27,50,940,3.4,190
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
40,3012,720,28,11,90,42,4,32,140,1690,3.4,219
50,3473,830,41,18,78,30,10,35,130,940,3.4,418
40,4142,990,65,31,63,22,9,42,225,750,3.4,351
35,3054,730,38,14,58,14,3,40,130,390,3.5,1217
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
35,4393,1050,41,17,120,18,25,29,65,840,3.6,2360
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
30,3180,760,29,11,80,9,7,46,145,460,3.6,6686
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
35,2929,700,31,10,66,21,10,39,135,480,3.5,4613
45,3222,770,36,16,63,15,4,38,160,810,3.5,2985
45,2301,550,26,9,67,6,3,12,30,550,3.4,2507
30,3138,750,43,22,48,9,6,35,100,980,3.4,2992
35,2845,680,38,16,43,10,9,40,145,620,3.7,1344
55,3264,780,38,15,70,11,5,49,135,1850,3.5,182
25,2971,710,40,11,55,4,4,36,110,400,3.5,1949
30,3473,830,40,20,80,9,8,43,190,430,3.4,1131
20,3473,830,41,18,63,19,6,37,120,1010,3.4,6217
50,3807,910,42,20,73,28,11,57,235,770,3.5,1049
30,3054,730,32,13,58,14,6,37,110,1230,3.5,2315
30,2092,500,25,12,48,9,5,18,75,1050,3.5,4613
30,2552,610,27,8,61,26,8,35,150,420,3.5,4323
30,3389,810,49,22,51,10,3,39,145,1190,3.4,3467
40,2929,700,29,9,71,29,11,39,115,430,3.2,367
30,4058,970,59,17,77,5,6,38,100,1290,3.4,1135
20,3012,720,39,18,53,15,8,34,135,830,3.5,1052
40,2845,680,37,16,49,11,7,35,120,970,3.4,4133
35,3347,800,49,20,73,12,7,19,85,880,3.3,640
35,2594,620,36,13,56,14,14,20,50,470,3.4,3730
45,2385,570,25,10,41,10,7,44,150,500,3.5,603
30,2803,670,34,12,56,6,6,38,95,810,3.4,4567
45,3473,830,40,18,75,25,9,43,180,510,3.4,1089
30,3849,920,43,14,84,29,7,33,120,860,3.4,1344
40,3766,900,60,20,38,6,7,52,135,890,3.9,15
35,3389,810,36,12,87,9,6,36,145,550,3.5,2111
30,3264,780,37,9,77,12,4,30,95,1180,4.0,14
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
30,3556,850,52,13,54,8,11,49,150,640,3.5,5469
45,4142,990,50,24,95,16,7,46,160,1160,3.5,11794
30,3724,890,48,19,64,11,6,39,140,700,3.4,4098
40,2678,640,26,10,56,18,11,50,230,350,3.4,1190
45,4226,1010,51,17,92,14,8,49,130,1060,3.5,699
40,2971,710,35,6,66,28,10,42,100,810,3.6,2232
20,2845,680,30,11,90,13,10,19,45,990,3.3,963
25,3473,830,56,12,62,6,4,19,40,910,3.4,3282
35,3222,770,28,11,81,9,16,45,120,1620,3.2,237
20,3012,720,41,16,50,5,7,33,125,410,3.5,8320
35,3347,800,37,14,81,30,5,33,115,1350,3.5,6859
40,2803,670,34,16,44,13,9,45,185,520,3.6,7017
30,2761,660,31,15,44,9,6,38,315,1630,3.5,1173
35,4393,1050,60,19,69,22,7,35,115,1190,3.5,1710
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
35,3305,790,39,18,88,16,9,24,70,1410,3.5,1234
45,3096,740,39,14,66,24,10,32,110,880,3.4,3341
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
25,2803,670,27,11,50,11,4,41,110,1150,3.5,4702
30,2971,710,29,8,70,11,6,40,125,1940,3.5,2189
35,3807,910,42,10,94,23,4,29,95,1840,3.5,4761
35,2427,580,23,7,52,21,7,40,135,290,3.5,12116
30,3305,790,30,15,111,16,9,25,60,580,3.2,1564
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
40,3012,720,41,21,47,12,7,40,170,680,3.6,1684
20,3682,880,53,18,60,13,3,40,160,890,3.5,1640
35,3264,780,40,17,61,21,4,46,145,440,3.4,3554
20,2929,700,35,12,55,23,5,42,130,370,3.4,3753
50,3724,890,46,17,66,4,3,53,190,1260,3.6,1318
30,2803,670,48,11,53,14,10,36,110,560,3.5,2275
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
25,2510,600,26,9,60,14,3,34,135,930,3.5,1757
30,2385,570,16,6,60,14,3,39,135,520,3.5,65
20,3389,810,45,18,50,14,2,35,120,1480,3.6,6370
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,3305,790,41,16,63,20,5,42,140,770,3.3,614
30,2092,500,22,5,34,5,7,40,130,410,3.5,2908
35,2971,710,41,16,70,10,7,21,65,840,3.5,1163
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
35,2929,700,34,16,46,5,4,51,185,720,3.6,1000
30,2301,550,22,8,48,15,7,37,130,310,3.8,62
30,2720,650,27,10,59,26,3,39,150,280,3.5,920
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
35,3640,870,47,18,54,10,5,53,185,990,3.3,2705
30,4017,960,43,15,98,15,25,35,45,1330,3.3,1801
40,2720,650,30,9,78,14,13,23,30,590,3.4,1203
30,3180,760,40,22,80,10,4,22,95,360,3.6,4468
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
30,2301,550,21,7,59,11,4,34,80,170,3.5,2378
40,2887,690,31,9,63,26,10,40,115,360,3.4,1840
35,2761,660,25,9,73,10,6,32,140,290,3.5,2785
30,3096,740,57,19,48,13,8,46,180,650,3.3,825
35,3891,930,45,19,90,21,7,43,145,910,3.6,1773
30,3054,730,32,13,58,14,6,37,110,1230,3.5,2315
30,3222,770,46,26,57,7,6,27,145,1150,3.6,4766
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
35,4393,1050,41,17,120,18,25,29,65,840,3.6,2360
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
30,2218,530,23,7,45,14,7,39,110,480,3.5,215
40,2887,690,43,11,51,12,10,29,115,260,3.5,2228
50,4100,980,60,27,80,9,8,33,145,1280,3.4,2392
35,3222,770,47,17,50,11,7,38,130,490,3.4,5260
45,3222,770,36,16,63,15,4,38,160,810,3.5,2985
35,3598,860,40,13,93,16,11,28,55,640,3.5,1840
20,638,38,15,59,8,9,24,67,439,3.4,5015
45,3054,730,44,16,49,20,9,33,220,720,3.5,950
25,2510,600,38,14,50,5,4,23,245,820,3.6,2851
25,3640,870,43,19,81,8,6,47,160,780,3.6,8
35,2720,650,25,10,64,24,9,40,150,630,3.5,11479
40,3347,800,53,16,76,26,13,47,175,720,3.4,494
35,3389,810,36,12,87,9,6,36,145,550,3.5,2111
30,3431,820,39,11,81,15,5,36,100,1920,3.5,7482
25,3473,830,56,12,62,6,4,19,40,910,3.4,3282
40,3054,730,34,15,58,13,9,45,175,520,3.5,11384
30,4602,1100,67,25,82,12,9,42,175,690,3.6,412
40,2678,640,24,9,60,10,4,40,155,490,3.4,3400
35,2301,550,23,10,46,18,6,41,105,560,3.4,198
35,2636,630,26,10,55,6,2,40,150,600,3.4,461
20,3012,720,39,18,53,15,8,34,135,830,3.5,1052
30,3264,780,37,14,93,10,8,28,55,670,3.4,1472
30,2176,520,24,12,51,7,4,21,90,1020,3.4,2261
40,3473,830,52,17,64,13,10,30,185,1110,3.4,2305
65,4979,1190,62,28,82,10,9,67,225,1160,3.3,761
25,2971,710,40,11,55,4,4,36,110,400,3.5,1949
35,3975,950,37,10,103,16,21,44,145,1950,3.5,371
35,2929,700,30,13,80,11,6,29,80,1230,3.5,1879
35,3682,880,49,26,70,19,13,44,185,700,3.6,1071
30,2636,630,41,10,58,14,4,36,100,1130,3.2,3162
35,3515,840,41,13,78,15,11,40,105,650,3.5,8975
30,2678,640,33,8,75,13,4,14,200,990,3.5,3893
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
40,4393,1050,60,22,89,21,6,44,185,1150,3.5,9446
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
25,3054,730,45,16,33,7,7,47,175,970,3.5,2212
30,3473,830,37,19,79,9,8,47,175,380,3.5,5966
35,3264,780,26,4.5,84,18,4,43,120,640,3.5,3244
50,2636,630,30,13,82,10,6,14,45,550,3.5,2610
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
45,3682,880,53,19,67,3,3,36,115,590,3.5,937
40,5858,1400,85,37,98,23,7,56,265,2770,3.5,1515
20,3389,810,45,18,50,14,2,35,120,1480,3.6,6370
30,2636,630,28,9,75,13,9,24,40,710,3.4,2977
30,2385,570,16,6,60,14,3,39,135,520,3.5,65
35,3264,780,40,17,61,21,4,46,145,440,3.4,3554
